Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle Number,TDM (s),MFD (m),EI (m/s)
0.650167,-140.168,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.660169,-1.75045,-27.6008,-0.000187755,1.570152745,4.72,1.83,1,,,
0.660169,-140.001,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.670172,-1.75045,-27.6008,-0.000191261,1.570152745,4.72,1.83,1,,,
0.670172,-139.834,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.680175,-1.75045,-27.6008,-0.000194439,1.570152745,4.72,1.83,1,,,
0.680175,-139.667,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.690177,-1.75045,-27.6008,-0.000197041,1.570152745,4.72,1.83,1,,,
0.690177,-139.5,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.70018,-1.75045,-27.6008,-0.000198894,1.570152745,4.72,1.83,1,,,
0.70018,-139.334,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.710182,-1.75045,-27.6008,-0.000199891,1.570152745,4.72,1.83,1,,,
0.710182,-139.167,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.720185,-1.75045,-27.6008,-0.000200033,1.570152745,4.72,1.83,1,,,
0.720185,-139.001,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.730187,-1.75045,-27.6008,-0.000199324,1.570152745,4.72,1.83,1,,,
0.730187,-138.835,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.74019,-1.75045,-27.6008,-0.000197725,1.570152745,4.72,1.83,1,,,
0.74019,-138.668,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.750193,-1.75045,-27.6008,-0.000195313,1.570152745,4.72,1.83,1,,,
0.750193,-138.502,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.760195,-1.75045,-27.6008,-0.000192124,1.570152745,4.72,1.83,1,,,
0.760195,-138.335,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.770198,-1.75045,-27.6008,-0.000188377,1.570152745,4.72,1.83,1,,,
0.770198,-138.168,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.7802,-1.75045,-27.6008,-0.000184058,1.570152745,4.72,1.83,1,,,
0.7802,-138.001,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.790203,-1.75045,-27.6008,-0.000179315,1.570152745,4.72,1.83,1,,,
0.790203,-137.835,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.800205,-1.75045,-27.6008,-0.000174266,1.570152745,4.72,1.83,1,,,
0.800205,-137.668,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.810208,-1.75045,-27.6008,-0.000169008,1.570152745,4.72,1.83,1,,,
0.810208,-137.501,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.82021,-1.75045,-27.6008,-0.000163694,1.570152745,4.72,1.83,1,,,
0.82021,-137.334,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.830213,-1.75045,-27.6008,-0.000158299,1.570152745,4.72,1.83,1,,,
0.830213,-137.167,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.840216,-1.75045,-27.6008,-0.000152889,1.570152745,4.72,1.83,1,,,
0.840216,-137.0,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.850218,-1.75045,-27.6008,-0.000147599,1.570152745,4.72,1.83,1,,,
0.850218,-136.833,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.860221,-1.75045,-27.6008,-0.000142409,1.570152745,4.72,1.83,1,,,
0.860221,-136.666,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.870223,-1.75045,-27.6008,-0.000137338,1.570152745,4.72,1.83,1,,,
0.870223,-136.5,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.880226,-1.75045,-27.6008,-0.00013243,1.570152745,4.72,1.83,1,,,
0.880226,-136.333,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.890228,-1.75045,-27.6008,-0.000127873,1.570152745,4.72,1.83,1,,,
0.890228,-136.166,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.900231,-1.75045,-27.6008,-0.000123379,1.570152745,4.72,1.83,1,,,
0.900231,-135.999,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.910234,-1.75045,-27.6008,-0.000119138,1.570152745,4.72,1.83,1,,,
0.910234,-135.833,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.920236,-1.75045,-27.6008,-0.000115014,1.570152745,4.72,1.83,1,,,
0.920236,-135.667,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.930239,-1.75045,-27.6008,-0.000111134,1.570152745,4.72,1.83,1,,,
0.930239,-135.501,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.940241,-1.75045,-27.6008,-0.000107419,1.570152745,4.72,1.83,1,,,
0.940241,-135.334,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.950244,-1.75045,-27.6008,-0.000103832,1.570152745,4.72,1.83,1,,,
0.950244,-135.168,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.960246,-1.75045,-27.6008,-0.000100355,1.570152745,4.72,1.83,1,,,
0.960246,-135.0,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.970249,-1.75045,-27.6008,-9.7e-05,1.570152745,4.72,1.83,1,,,
0.970249,-134.833,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.980252,-1.75045,-27.6008,-9.38e-05,1.570152745,4.72,1.83,1,,,
0.980252,-134.666,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.990254,-1.75045,-27.6008,-9.07e-05,1.570152745,4.72,1.83,1,,,
0.990254,-134.499,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.00026,-1.75045,-27.6008,-8.77e-05,1.570152745,4.72,1.83,1,,,
1.00026,-134.332,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.01026,-1.75045,-27.6008,-8.47e-05,1.570152745,4.72,1.83,1,,,
1.01026,-134.166,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.02026,-1.75045,-27.6008,-8.19e-05,1.570152745,4.72,1.83,1,,,
1.02026,-133.999,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.03026,-1.75045,-27.6008,-7.91e-05,1.570152745,4.72,1.83,1,,,
1.03026,-133.833,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.04027,-1.75045,-27.6008,-7.63e-05,1.570152745,4.72,1.83,1,,,
1.04027,-133.667,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.05027,-1.75045,-27.6008,-7.37e-05,1.570152745,4.72,1.83,1,,,
1.05027,-133.501,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.06027,-1.75045,-27.6008,-7.11e-05,1.570152745,4.72,1.83,1,,,
1.06027,-133.334,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.07027,-1.75045,-27.6008,-6.86e-05,1.570152745,4.72,1.83,1,,,
1.07027,-133.167,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.08028,-1.75045,-27.6008,-6.61e-05,1.570152745,4.72,1.83,1,,,
1.08028,-133.001,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.09028,-1.75045,-27.6008,-6.37e-05,1.570152745,4.72,1.83,1,,,
1.09028,-132.834,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.10028,-1.75045,-27.6008,-6.14e-05,1.570152745,4.72,1.83,1,,,
1.10028,-132.667,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.11028,-1.75045,-27.6008,-5.92e-05,1.570152745,4.72,1.83,1,,,
1.11028,-132.5,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.12029,-1.75045,-27.6008,-5.7e-05,1.570152745,4.72,1.83,1,,,
1.12029,-132.333,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.13029,-1.75045,-27.6008,-5.49e-05,1.570152745,4.72,1.83,1,,,
1.13029,-132.165,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.14029,-1.75045,-27.6008,-5.28e-05,1.570152745,4.72,1.83,1,,,
1.14029,-131.998,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.1503,-1.75045,-27.6008,-5.08e-05,1.570152745,4.72,1.83,1,,,
1.1503,-131.831,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.1603,-1.75045,-27.6008,-4.89e-05,1.570152745,4.72,1.83,1,,,
1.1603,-131.664,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.1703,-1.75045,-27.6008,-4.7e-05,1.570152745,4.72,1.83,1,,,
1.1703,-131.498,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.1803,-1.75045,-27.6008,-4.53e-05,1.570152745,4.72,1.83,1,,,
1.1803,-131.331,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.19031,-1.75045,-27.6008,-4.35e-05,1.570152745,4.72,1.83,1,,,
1.19031,-131.164,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.20031,-1.75045,-27.6008,-4.19e-05,1.570152745,4.72,1.83,1,,,
1.20031,-130.997,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.21031,-1.75045,-27.6008,-4.03e-05,1.570152745,4.72,1.83,1,,,
1.21031,-130.831,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.22031,-1.75045,-27.6008,-3.88e-05,1.570152745,4.72,1.83,1,,,
1.22031,-130.664,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.23032,-1.75045,-27.6008,-3.74e-05,1.570152745,4.72,1.83,1,,,
1.23032,-130.498,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.24032,-1.75045,-27.6008,-3.59e-05,1.570152745,4.72,1.83,1,,,
1.24032,-130.331,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.25032,-1.75045,-27.6008,-3.45e-05,1.570152745,4.72,1.83,1,,,
1.25032,-130.164,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.26032,-1.75045,-27.6008,-3.32e-05,1.570152745,4.72,1.83,1,,,
1.26032,-129.997,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.27033,-1.75045,-27.6008,-3.2e-05,1.570152745,4.72,1.83,1,,,
1.27033,-129.831,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.28033,-1.75045,-27.6008,-3.08e-05,1.570152745,4.72,1.83,1,,,
1.28033,-129.664,-1.7,16.66666667,0.0,4.72,1.83,4,,,
